"morphospe","family.x","scientificName","family.y","status"
"Elaphoglossum glossphylum","Dryopteridaceae","Elaphoglossum glossophyllum Hieron.","Dryopteridaceae","ACCEPTED"
"Melpomene jimenezii","Polypodiaceae","Melpomene jimenezii Lehnert","Polypodiaceae","ACCEPTED"
"Elaphoglossum rimbachii","Dryopteridaceae","Elaphoglossum rimbachii (Sodiro) Christ","Dryopteridaceae","ACCEPTED"
"Elaphoglossum pachyphyllum","Dryopteridaceae","Elaphoglossum pachyphyllum (Kunze) C.Chr.","Dryopteridaceae","ACCEPTED"
"Maxillaria haemathodes","Orchidaceae","Maxillaria haemathodes (Ruiz & Pav.) Garay","Orchidaceae","ACCEPTED"
"Stelis sp6","Orchidaceae",NA,NA,NA
"Alansmia sp2","Polypodiaceae","Alansmia M.Kessler, Moguel, Sundue & Labiak","Polypodiaceae","ACCEPTED"
"Elleanthus longibracteatus","Orchidaceae","Elleanthus longibracteatus (Lindl. ex Griseb.) Fawc.","Orchidaceae","ACCEPTED"
"Disterigma sp1","Ericaceae","Disterigma (Klotzsch) Nied. ex Drude","Ericaceae","ACCEPTED"
"Fuchsia sp1","Onagraceae",NA,NA,NA
"Epidendrum sp7","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Epidendrum sp9","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Dicotiledonea 1","Ericaceae",NA,NA,NA
"Dichaea sp1","Orchidaceae","Dichaea Lindl.","Orchidaceae","ACCEPTED"
"Pleurothallis sp3","Orchidaceae","Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Maxillaria sp7","Orchidaceae",NA,NA,NA
"Melpomene sp7","Polypodiaceae",NA,NA,NA
"Epidendrum sp10","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Tillandsia sp10","Bromeliaceae","Tillandsia L.","Bromeliaceae","ACCEPTED"
"Lepanthes sp4","Orchidaceae","Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Stelis sp4","Orchidaceae",NA,NA,NA
"Maxillaria sp4","Orchidaceae",NA,NA,NA
"Lepanthes sp3","Orchidaceae","Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Maxillaria sp8","Orchidaceae",NA,NA,NA
"Maxillaria sp9","Orchidaceae",NA,NA,NA
"Tillandsia sp11","Bromeliaceae","Tillandsia L.","Bromeliaceae","ACCEPTED"
"Thibaudia crenulata","Ericaceae","Thibaudia crenulata J.Rémy","Ericaceae","SYNONYM"
"Elaphoglossum lingua","Dryopteridaceae","Elaphoglossum lingua (Raddi) Brack.","Dryopteridaceae","ACCEPTED"
"Elaphoglossum lingua","Dryopteridaceae","Elaphoglossum lingua (Raddi) Brack.","Dryopteridaceae","ACCEPTED"
"Maxillaria sp19","Orchidaceae",NA,NA,NA
"Stelis aurea","Orchidaceae","Stelis aurea (Lindl.) Karremans","Orchidaceae","ACCEPTED"
"Pleurothallis cassidis","Orchidaceae","Pleurothallis cassidis Lindl.","Orchidaceae","SYNONYM"
"Maxillaria gigantea","Orchidaceae","Maxillaria gigantea D.E.Benn. & Christenson, 1998","Orchidaceae","ACCEPTED"
"Epidendrum manusalinasiae","Orchidaceae","Epidendrum L.","Orchidaceae","ACCEPTED"
"Serpocaulon lasiopus","Polypodiaceae","Serpocaulon lasiopus (Klotzsch) A.R.Sm.","Polypodiaceae","ACCEPTED"
"Maxillaria cuzcoensis","Orchidaceae","Maxillaria cuzcoensis C.Schweinf.","Orchidaceae","ACCEPTED"
"Stelis sp12","Orchidaceae",NA,NA,NA
"Hymenophyllum sp2","Hymenophyllaceae","Hymenophyllum J.E.Sm.","Hymenophyllaceae","ACCEPTED"
