"species","family","status"
"Epidendrum soratae Rchb.f.","Orchidaceae","ACCEPTED"
"Psammisia Klotzsch","Ericaceae","ACCEPTED"
NA,NA,NA
"Thibaudia Ruiz & Pav.","Ericaceae","ACCEPTED"
"Ribes L.","Grossulariaceae","ACCEPTED"
"Epidendrum blepharichilum Kraenzl.","Orchidaceae","ACCEPTED"
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
"Fuchsia apetala Ruiz & Pav.","Onagraceae","ACCEPTED"
"Terpsichore bipinnata (Stolze) A.R.Sm.","Polypodiaceae","ACCEPTED"
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Tillandsia complanata Benth.","Bromeliaceae","ACCEPTED"
"Cyrtochilum rhodoneurum (Rchb.f.) Dalström","Orchidaceae","ACCEPTED"
"Pleurothallis R.Br.","Orchidaceae","ACCEPTED"
NA,NA,NA
"Alansmia M.Kessler, Moguel, Sundue & Labiak","Polypodiaceae","ACCEPTED"
NA,NA,NA
"Elleanthus C.Presl","Orchidaceae","ACCEPTED"
NA,NA,NA
"Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Huperzia Bernh.","Lycopodiaceae","ACCEPTED"
"Radiovittaria gardneriana (Fée) E.H.Crane","Pteridaceae","ACCEPTED"
"Masdevallia antonii Königer","Orchidaceae","ACCEPTED"
"Lepanthes Sw.","Orchidaceae","ACCEPTED"
"Platystele Schltr.","Orchidaceae","ACCEPTED"
"Hymenophyllum sericeum (Sw.) Sw.","Hymenophyllaceae","ACCEPTED"
NA,NA,NA
"Myoxanthus parahybunensis (Barb.Rodr.) Luer","Orchidaceae","ACCEPTED"
"Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Trichomanes L.","Hymenophyllaceae","ACCEPTED"
"Elaphoglossum muscosum (Sw.) T.Moore","Dryopteridaceae","ACCEPTED"
NA,NA,NA
"Asplenium serra Langsd. & Fisch.","Aspleniaceae","ACCEPTED"
"Campyloneurum C.Presl","Polypodiaceae","ACCEPTED"
"Cranichis Sw.","Orchidaceae","ACCEPTED"
"Tillandsia L.","Bromeliaceae","ACCEPTED"
"Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Elaphoglossum lingua (Raddi) Brack.","Dryopteridaceae","ACCEPTED"
"Alansmia M.Kessler, Moguel, Sundue & Labiak","Polypodiaceae","ACCEPTED"
NA,NA,NA
"Tillandsia recurvata (L.) L.","Bromeliaceae","ACCEPTED"
"Dichaea Lindl.","Orchidaceae","ACCEPTED"
"Neoregelia L.B.Sm.","Bromeliaceae","ACCEPTED"
NA,NA,NA
NA,NA,NA
"Epidendrum L.","Orchidaceae","ACCEPTED"
"Elaphoglossum Schott ex J.Sm.","Dryopteridaceae","ACCEPTED"
"Elaphoglossum lechlerianum (Mett.) T.Moore","Dryopteridaceae","ACCEPTED"
"Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
"Phlebodium (R.Br.) J.Sm.","Polypodiaceae","ACCEPTED"
"Racinaea M.A.Spencer & L.B.Sm.","Bromeliaceae","ACCEPTED"
NA,NA,NA
NA,NA,NA
"Lepanthopsis (Cogn.) Ames","Orchidaceae","ACCEPTED"
"Bomarea Mirb.","Alstroemeriaceae","ACCEPTED"
